date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:33:23	1023/1023	---M--	404	error ('Not%20Found')	text/html	etag:%2239c908-3ff-50f16ce97877d%22	http://silicon.ac.in/robots.txt		(from )
09:33:24	16518/16518	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2014:30:11%20GMT	http://silicon.ac.in/icit2014/	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/index.html	(from )
09:33:24	14051/14051	---M--	200	added ('OK')	text/css	etag:%225439386f-36e3%22	http://silicon.ac.in/icit2014/style.css	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/style.css	(from http://silicon.ac.in/icit2014/)
09:33:24	981/981	---M--	200	added ('OK')	text/css	etag:%2239e00f-3d5-4f97d297b0940%22	http://silicon.ac.in/icit2014/tinyscrollbar.css	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/tinyscrollbar.css	(from http://silicon.ac.in/icit2014/)
09:33:25	8073/8073	---M--	200	added ('OK')	text/javascript	etag:%225375993a-1f89%22	http://silicon.ac.in/icit2014/jquery.tinyscrollbar.js	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/jquery.tinyscrollbar.js	(from http://silicon.ac.in/icit2014/)
09:33:27	25579/25579	---MC-	200	added ('OK')	text/javascript	date:Wed,%2008%20Apr%202015%2020:30:30%20GMT	http://www.google-analytics.com/analytics.js	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/www.google-analytics.com/analytics.js	(from http://silicon.ac.in/icit2014/)
09:33:29	25855/25855	---M--	200	added ('OK')	text/javascript	etag:%225375993d-64ff%22	http://silicon.ac.in/icit2014/slidedeck.jquery.js	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/slidedeck.jquery.js	(from http://silicon.ac.in/icit2014/)
09:33:37	72174/72174	---MC-	200	added ('OK')	text/javascript	date:Mon,%2002%20Apr%202012%2018:24:28%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.4.2/jquery.min.js?ver=1.4.2	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/ajax.googleapis.com/ajax/libs/jquery/1.4.2/jquery.min1159.js	(from http://silicon.ac.in/icit2014/)
09:33:42	108080/108080	---M--	200	added ('OK')	image/jpeg	etag:%2253759939-1a630%22	http://silicon.ac.in/icit2014/images/slide100.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/slide100.jpg	(from http://silicon.ac.in/icit2014/)
09:33:44	92059/92059	---M--	200	added ('OK')	image/jpeg	etag:%2253759935-1679b%22	http://silicon.ac.in/icit2014/images/slide-1.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/slide-1.jpg	(from http://silicon.ac.in/icit2014/)
09:33:45	16518/16518	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2014:30:32%20GMT	http://silicon.ac.in/icit2014/index.php	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/index-2.html	(from http://silicon.ac.in/icit2014/)
09:33:45	7292/7292	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2014:30:33%20GMT	http://silicon.ac.in/icit2014/about.php	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/about.html	(from http://silicon.ac.in/icit2014/)
09:33:46	9169/9169	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2014:30:33%20GMT	http://silicon.ac.in/icit2014/org.php	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/org.html	(from http://silicon.ac.in/icit2014/)
09:33:46	113408/113408	---M--	200	added ('OK')	image/jpeg	etag:%225375993a-1bb00%22	http://silicon.ac.in/icit2014/images/slide-2.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/slide-2.jpg	(from http://silicon.ac.in/icit2014/)
09:33:46	14638/14638	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2014:30:34%20GMT	http://silicon.ac.in/icit2014/prog.php	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/prog.html	(from http://silicon.ac.in/icit2014/)
09:33:47	6984/6984	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2014:30:34%20GMT	http://silicon.ac.in/icit2014/submission.php	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/submission.html	(from http://silicon.ac.in/icit2014/)
09:33:48	12239/12239	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2014:30:34%20GMT	http://silicon.ac.in/icit2014/cfp.php	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/cfp.html	(from http://silicon.ac.in/icit2014/)
09:33:48	13220/13220	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2014:30:35%20GMT	http://silicon.ac.in/icit2014/keynote.php	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/keynote.html	(from http://silicon.ac.in/icit2014/)
